hcp_id,first_name,last_name,specialty,segment,territory,city,state,practice_type,account_tenure,opt_out_flag,channel_preference,interaction_count_digital_ad,interaction_count_email,interaction_count_phone_call,interaction_count_rep_visit,interaction_count_webinar,successful_interactions_digital_ad,successful_interactions_email,successful_interactions_phone_call,successful_interactions_rep_visit,successful_interactions_webinar,success_rate_digital_ad,success_rate_email,success_rate_phone_call,success_rate_rep_visit,success_rate_webinar,last_engagement_date_digital_ad,last_engagement_date_email,last_engagement_date_phone_call,last_engagement_date_rep_visit,last_engagement_date_webinar,recency_days_digital_ad,recency_days_email,recency_days_phone_call,recency_days_rep_visit,recency_days_webinar,frequency_score_rep_visit,recency_score_rep_visit,frequency_score_phone_call,recency_score_phone_call,frequency_score_webinar,recency_score_webinar,frequency_score_email,recency_score_email,frequency_score_digital_ad,recency_score_digital_ad,channel_score_rep_visit,channel_score_phone_call,channel_score_webinar,channel_score_email,channel_score_digital_ad,weighted_engagement_score,engagement_rank,engagement_level,recommended_channel,engagement_eligible
11,Linda,Wolfe,endocrinology,low_value,TERR_16,Minneapolis,MN,clinic,1.1,True,Digital-Heavy,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.75,0.0,2025-04-15 08:00:00,,,2025-06-26 09:00:00,2025-12-11 15:00:00,262,,,190,22,0.23529411764705882,0.13636363636363638,0.0,0.0,0.4,0.5769230769230769,0.0,0.0,0.0625,0.10273972602739727,0.4728609625668449,0.0,0.23538461538461536,0.0,0.039297945205479454,19.48,430,Low Engagement,Do Not Contact,False
12,Matthew,Moore,oncology,medium_value,TERR_25,Minneapolis,MN,cancer_center,2.3,False,Mixed,4.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2025-08-26 12:00:00,2025-12-18 09:00:00,2025-11-25 08:00:00,,,129,15,38,,,0.0,0.0,0.125,0.4411764705882353,0.0,0.0,0.23529411764705882,0.6666666666666666,0.25,0.18867924528301888,0.0,0.37573529411764706,0.0,0.20392156862745098,0.11273584905660378,12.26,486,Low Engagement,phone_call,True
13,Susan,Rogers,primary_care,high_value,TERR_01,Oakland,CA,private_practice,4.4,False,In-Person-Heavy,11.0,9.0,4.0,2.0,6.0,3.0,3.0,0.0,1.0,1.0,0.2727272727272727,0.3333333333333333,0.0,0.5,0.16666666666666666,2025-12-04 15:00:00,2025-12-19 13:00:00,2025-08-13 09:00:00,2025-11-28 17:00:00,2025-12-10 10:00:00,29,14,142,35,23,0.11764705882352941,0.46153846153846145,0.25,0.1744186046511628,0.6,0.5660377358490566,0.5294117647058824,0.6818181818181818,0.6875,0.5084745762711864,0.3776018099547511,0.10988372093023255,0.3765408805031446,0.4618538324420677,0.44430855161787364,34.65,188,Medium Engagement,email,True
14,Christopher,Davis,cardiology,low_value,TERR_35,Tucson,AZ,private_practice,1.0,False,In-Person-Heavy,0.0,3.0,5.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,,2025-12-18 10:00:00,2025-11-11 09:00:00,2025-12-22 11:00:00,2025-05-13 10:00:00,,15,52,11,234,0.35294117647058826,0.7317073170731707,0.3125,0.36585365853658536,0.2,0.11363636363636363,0.17647058823529413,0.6666666666666666,0.0,0.0,0.4188904830224772,0.16692073170731708,0.08272727272727273,0.18627450980392157,0.0,20.35,417,Medium Engagement,rep_visit,True
15,Melanie,Munoz,cardiology,low_value,TERR_48,Nashville,TN,private_practice,0.5,False,Digital-Heavy,0.0,2.0,4.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,,2025-11-03 16:00:00,2025-07-29 15:00:00,2025-11-19 16:00:00,2025-07-23 15:00:00,,60,157,44,163,0.6470588235294118,0.4054054054054054,0.25,0.16042780748663102,0.1,0.15544041450777202,0.11764705882352941,0.3333333333333333,0.0,0.0,0.32065327359445006,0.1070855614973262,0.0610880829015544,0.10196078431372549,0.0,14.51,474,Low Engagement,rep_visit,True
16,Lindsay,Blair,dermatology,high_value,TERR_27,Sacramento,CA,clinic,4.4,False,Digital-Heavy,0.0,2.0,9.0,13.0,3.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.6666666666666666,0.6153846153846154,0.0,,2025-08-25 13:00:00,2025-11-06 09:00:00,2025-12-31 14:00:00,2025-10-20 12:00:00,,130,57,2,74,0.7647058823529411,0.9375,0.5625,0.3448275862068966,0.3,0.28846153846153844,0.11764705882352941,0.1875,0.0,0.0,0.72460407239819,0.5710488505747127,0.14769230769230768,0.07279411764705883,0.0,37.2,140,Medium Engagement,rep_visit,True
17,Amanda,Dudley,primary_care,medium_value,TERR_14,Colorado Springs,CO,private_practice,1.6,False,Digital-Heavy,1.0,3.0,5.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,2025-07-21 14:00:00,2025-09-18 16:00:00,2025-12-19 08:00:00,2025-09-12 08:00:00,2025-04-14 16:00:00,165,106,14,112,263,0.11764705882352941,0.2112676056338028,0.3125,0.6818181818181818,0.1,0.10238907849829351,0.17647058823529413,0.22058823529411764,0.0625,0.15384615384615385,0.5775476387738194,0.23011363636363635,0.5504778156996587,0.26372549019607844,0.049519230769230774,37.64,130,Medium Engagement,rep_visit,True
18,Nicholas,Arnold,cardiology,medium_value,TERR_42,Fort Worth,TX,hospital,3.9,False,Digital-Heavy,2.0,5.0,8.0,9.0,3.0,0.0,1.0,4.0,8.0,2.0,0.0,0.2,0.5,0.8888888888888888,0.6666666666666666,2025-11-12 15:00:00,2025-11-04 08:00:00,2025-12-02 17:00:00,2025-12-16 15:00:00,2025-11-27 15:00:00,51,59,31,17,36,0.5294117647058824,0.6382978723404256,0.5,0.49180327868852464,0.3,0.45454545454545453,0.29411764705882354,0.33707865168539325,0.125,0.37037037037037035,0.7309275483242943,0.49836065573770494,0.5142424242424243,0.2556510244547257,0.11157407407407408,47.69,13,High Engagement,rep_visit,True
19,Maria,Montgomery,cardiology,low_value,TERR_30,Mesa,AZ,private_practice,2.9,False,In-Person-Heavy,5.0,1.0,5.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,0.2,1.0,0.0,0.6666666666666666,0.0,2025-12-02 15:00:00,2025-09-03 12:00:00,2025-12-15 11:00:00,2025-10-06 10:00:00,2025-09-16 10:00:00,31,121,18,88,108,0.17647058823529413,0.2542372881355932,0.3125,0.625,0.3,0.2173913043478261,0.058823529411764705,0.19867549668874174,0.3125,0.49180327868852464,0.43712196743104015,0.21875,0.1334782608695652,0.5573821581612778,0.29211065573770495,32.9,218,Medium Engagement,email,True
20,Michelle,Ray,dermatology,medium_value,TERR_13,Albuquerque,NM,clinic,0.5,True,Mixed,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.875,0.0,2025-12-16 12:00:00,,,2025-11-24 14:00:00,2025-11-11 09:00:00,17,,,39,52,0.47058823529411764,0.4347826086956522,0.0,0.0,0.1,0.36585365853658536,0.0,0.0,0.0625,0.6382978723404256,0.6656329923273657,0.0,0.10317073170731707,0.0,0.1464095744680851,24.23,364,Medium Engagement,Do Not Contact,False
21,Janet,Williams,cardiology,medium_value,TERR_06,Memphis,TN,hospital,0.5,False,In-Person-Heavy,4.0,6.0,7.0,5.0,4.0,0.0,1.0,3.0,3.0,2.0,0.0,0.16666666666666666,0.42857142857142855,0.6,0.5,2026-01-01 12:00:00,2025-12-24 17:00:00,2025-11-17 08:00:00,2025-09-29 16:00:00,2025-12-18 15:00:00,1,9,46,95,15,0.29411764705882354,0.24000000000000005,0.4375,0.39473684210526316,0.4,0.6666666666666666,0.35294117647058826,0.7692307692307692,0.25,0.9677419354838709,0.43623529411764705,0.42448308270676693,0.5033333333333333,0.34306184012066365,0.2685483870967742,40.82,80,High Engagement,webinar,True
22,Jeremy,Roberts,endocrinology,medium_value,TERR_11,Memphis,TN,private_practice,4.1,False,In-Person-Heavy,0.0,2.0,6.0,9.0,3.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,0.5,0.7777777777777778,0.3333333333333333,,2025-12-24 13:00:00,2025-10-10 16:00:00,2025-11-13 09:00:00,2025-06-20 12:00:00,,9,84,50,196,0.5294117647058824,0.37499999999999994,0.375,0.2631578947368421,0.3,0.13274336283185842,0.11764705882352941,0.7692307692307692,0.0,0.0,0.6227124183006536,0.4151315789473684,0.2832153392330383,0.18914027149321266,0.0,35.49,176,Medium Engagement,rep_visit,True
23,Christopher,Hall,primary_care,medium_value,TERR_13,Raleigh,NC,private_practice,3.7,False,Mixed,2.0,5.0,3.0,10.0,2.0,0.0,3.0,0.0,8.0,1.0,0.0,0.6,0.0,0.8,0.5,2026-01-01 13:00:00,2025-12-23 14:00:00,2025-07-31 13:00:00,2025-11-27 15:00:00,2025-12-05 17:00:00,1,10,155,36,28,0.5882352941176471,0.45454545454545453,0.1875,0.16216216216216214,0.2,0.5172413793103449,0.29411764705882354,0.75,0.125,0.9677419354838709,0.6673796791443851,0.08868243243243243,0.413448275862069,0.5382352941176471,0.2310483870967742,41.6,72,High Engagement,rep_visit,True
24,Craig,Ramirez,cardiology,low_value,TERR_09,Mesa,AZ,private_practice,0.6,False,Mixed,2.0,5.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.5,0.0,2025-05-21 08:00:00,2025-11-07 17:00:00,2025-11-26 15:00:00,2025-08-28 09:00:00,,226,56,37,127,,0.11764705882352941,0.19108280254777069,0.25,0.44776119402985076,0.0,0.0,0.29411764705882354,0.3488372093023256,0.125,0.1171875,0.32351067815661294,0.28955223880597014,0.0,0.15800273597811218,0.0609375,18.78,436,Low Engagement,rep_visit,True
25,Cynthia,Diaz,primary_care,medium_value,TERR_32,Detroit,MI,private_practice,2.6,False,Mixed,1.0,3.0,9.0,6.0,1.0,0.0,2.0,0.0,6.0,1.0,0.0,0.6666666666666666,0.0,1.0,1.0,2025-04-14 10:00:00,2025-08-21 11:00:00,2025-12-31 09:00:00,2025-10-14 11:00:00,2025-02-21 13:00:00,263,134,2,80,315,0.35294117647058826,0.27272727272727276,0.5625,0.9375,0.1,0.08695652173913043,0.17647058823529413,0.18292682926829268,0.0625,0.10238907849829351,0.660427807486631,0.35624999999999996,0.5473913043478261,0.42285987565758004,0.039227815699658705,44.82,33,High Engagement,rep_visit,True
26,Mitchell,Clark,primary_care,medium_value,TERR_12,Colorado Springs,CO,private_practice,5.3,False,In-Person-Heavy,11.0,11.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.09090909090909091,0.0,0.5,0.3333333333333333,2025-09-23 17:00:00,2025-12-25 13:00:00,,2025-12-29 15:00:00,2025-11-03 12:00:00,101,8,,4,60,0.11764705882352941,0.8823529411764706,0.0,0.0,0.3,0.3333333333333333,0.6470588235294118,0.7894736842105263,0.6875,0.22900763358778622,0.46176470588235297,0.0,0.3233333333333333,0.39746692935547423,0.25205152671755726,30.06,258,Medium Engagement,rep_visit,True
27,Joseph,Zuniga,oncology,medium_value,TERR_23,Mesa,AZ,cancer_center,4.4,False,Digital-Heavy,1.0,2.0,8.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.0,2025-04-04 16:00:00,2025-10-06 08:00:00,2025-12-24 13:00:00,2025-12-31 15:00:00,2025-09-26 14:00:00,273,88,9,2,98,0.17647058823529413,0.9375,0.5,0.7692307692307692,0.2,0.234375,0.11764705882352941,0.2542372881355932,0.0625,0.09900990099009901,0.4071078431372549,0.4288461538461539,0.106875,0.08614157527417747,0.03855198019801981,24.8,354,Medium Engagement,phone_call,True
28,Deborah,Lynch,primary_care,low_value,TERR_44,Portland,OR,clinic,3.3,False,Digital-Heavy,6.0,3.0,3.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.16666666666666666,0.0,0.0,1.0,0.0,2025-11-25 09:00:00,2025-10-29 13:00:00,2025-12-26 09:00:00,2025-11-12 15:00:00,,38,65,7,51,,0.23529411764705882,0.37037037037037035,0.1875,0.8108108108108107,0.0,0.0,0.17647058823529413,0.31578947368421056,0.375,0.4411764705882353,0.6446623093681917,0.21841216216216217,0.0,0.11609907120743035,0.2840686274509804,29.71,262,Medium Engagement,rep_visit,True
29,George,Daniel,endocrinology,low_value,TERR_05,Fresno,CA,private_practice,3.9,True,Mixed,2.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,2025-12-15 10:00:00,,,2025-10-30 11:00:00,2025-09-02 09:00:00,18,,,64,122,0.35294117647058826,0.3191489361702128,0.0,0.0,0.2,0.19736842105263158,0.0,0.0,0.125,0.625,0.25304547350855233,0.0,0.09947368421052633,0.0,0.1625,12.02,489,Low Engagement,Do Not Contact,False
30,Frank,Gray,cardiology,medium_value,TERR_09,Philadelphia,PA,clinic,0.7,False,Digital-Heavy,2.0,0.0,6.0,11.0,7.0,0.0,0.0,2.0,7.0,6.0,0.0,0.0,0.3333333333333333,0.6363636363636364,0.8571428571428571,2025-12-29 12:00:00,,2025-11-03 17:00:00,2025-12-11 12:00:00,2025-11-19 12:00:00,4,,60,22,44,0.6470588235294118,0.5769230769230769,0.375,0.3333333333333333,0.7,0.4054054054054054,0.0,0.0,0.125,0.8823529411764706,0.6276840806252572,0.3458333333333333,0.7196525096525097,0.0,0.21397058823529413,43.35,47,High Engagement,webinar,True
31,Veronica,Bowman,dermatology,medium_value,TERR_19,Washington,DC,hospital,3.9,False,Digital-Heavy,3.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.5,1.0,2026-01-01 12:00:00,2025-12-02 08:00:00,2025-06-17 15:00:00,2025-11-12 17:00:00,2025-12-17 08:00:00,1,31,199,51,16,0.11764705882352941,0.37037037037037035,0.3125,0.13100436681222707,0.2,0.6521739130434783,0.17647058823529413,0.49180327868852464,0.1875,0.9677419354838709,0.3593681917211329,0.11995087336244542,0.6904347826086957,0.15130183220829316,0.24979838709677418,33.01,216,Medium Engagement,webinar,True
32,Angela,Cohen,endocrinology,medium_value,TERR_39,Seattle,WA,hospital,1.4,False,In-Person-Heavy,2.0,2.0,8.0,13.0,1.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0,0.25,0.8461538461538461,1.0,2025-07-18 14:00:00,2025-09-04 16:00:00,2025-12-11 12:00:00,2025-12-01 16:00:00,2025-12-18 17:00:00,168,120,22,32,15,0.7647058823529411,0.48387096774193555,0.5,0.5769230769230769,0.1,0.6666666666666666,0.11764705882352941,0.2,0.125,0.15151515151515152,0.7492628813311925,0.3903846153846154,0.6633333333333333,0.07529411764705883,0.06780303030303031,45.7,24,High Engagement,rep_visit,True
33,Megan,Parsons,primary_care,medium_value,TERR_42,Sacramento,CA,clinic,1.4,False,In-Person-Heavy,1.0,3.0,5.0,10.0,3.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,1.0,0.7,0.0,2025-06-10 16:00:00,2025-10-09 13:00:00,2025-11-06 17:00:00,2025-12-19 15:00:00,2025-09-02 17:00:00,206,85,57,14,122,0.5882352941176471,0.6818181818181818,0.3125,0.3448275862068966,0.3,0.19736842105263158,0.17647058823529413,0.2608695652173913,0.0625,0.1271186440677966,0.6628342245989305,0.6627155172413793,0.12947368421052632,0.1051150895140665,0.044173728813559326,37.97,127,Medium Engagement,rep_visit,True
34,Jeremy,Johnson,endocrinology,medium_value,TERR_49,Los Angeles,CA,private_practice,0.5,False,In-Person-Heavy,6.0,11.0,3.0,1.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,0.09090909090909091,0.0,0.0,0.3333333333333333,2025-12-19 14:00:00,2025-12-02 08:00:00,2026-01-02 14:00:00,2025-10-20 13:00:00,2025-12-25 13:00:00,14,31,0,74,8,0.058823529411764705,0.28846153846153844,0.1875,1.0,0.6,0.7894736842105263,0.6470588235294118,0.49180327868852464,0.375,0.6818181818181818,0.0753393665158371,0.25625,0.504561403508772,0.3379328482510739,0.24886363636363634,26.28,328,Medium Engagement,webinar,True
35,Leslie,Adams,primary_care,high_value,TERR_09,Raleigh,NC,private_practice,1.4,False,Digital-Heavy,10.0,10.0,7.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.2,0.0,0.0,0.0,0.5,2026-01-02 16:00:00,2025-11-03 08:00:00,2025-09-10 13:00:00,,2025-08-26 10:00:00,0,60,114,,129,0.0,0.0,0.4375,0.20833333333333334,0.4,0.18867924528301888,0.5882352941176471,0.3333333333333333,0.625,1.0,0.0,0.17291666666666666,0.40773584905660376,0.2431372549019608,0.4875,22.57,393,Medium Engagement,digital_ad,True
36,Jason,Hahn,cardiology,low_value,TERR_20,Detroit,MI,hospital,1.8,False,Digital-Heavy,5.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,2025-08-08 11:00:00,2026-01-01 08:00:00,2025-09-30 09:00:00,2025-06-12 09:00:00,2025-11-11 17:00:00,147,1,94,204,52,0.058823529411764705,0.12820512820512822,0.125,0.24193548387096778,0.1,0.36585365853658536,0.23529411764705882,0.9677419354838709,0.3125,0.1694915254237288,0.04328808446455506,0.08588709677419357,0.10317073170731707,0.5141366223908919,0.22764830508474576,16.21,462,Low Engagement,email,True
37,Nancy,Edwards,primary_care,medium_value,TERR_29,Seattle,WA,clinic,5.1,False,In-Person-Heavy,2.0,10.0,8.0,3.0,2.0,1.0,0.0,1.0,3.0,0.0,0.5,0.0,0.125,1.0,0.0,2025-06-03 10:00:00,2025-12-04 11:00:00,2025-10-07 16:00:00,2025-12-23 08:00:00,2025-06-10 17:00:00,213,29,87,10,206,0.17647058823529413,0.75,0.5,0.25641025641025644,0.2,0.1271186440677966,0.5882352941176471,0.5084745762711864,0.125,0.1234567901234568,0.7029411764705883,0.2637820512820513,0.08542372881355932,0.2781655034895314,0.31219135802469133,36.93,145,Medium Engagement,rep_visit,True
38,Diana,Foster,oncology,low_value,TERR_41,Kansas City,MO,hospital,1.7,False,Mixed,0.0,3.0,4.0,7.0,1.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.25,1.0,1.0,,2025-05-29 10:00:00,2025-11-20 16:00:00,2025-07-02 11:00:00,2025-08-08 09:00:00,,218,43,184,147,0.4117647058823529,0.14018691588785046,0.25,0.410958904109589,0.1,0.1694915254237288,0.17647058823529413,0.12096774193548389,0.0,0.0,0.651566794942276,0.2821917808219178,0.5638983050847458,0.07713472485768502,0.0,37.63,131,Medium Engagement,rep_visit,True
39,Robin,Ellis,primary_care,medium_value,TERR_08,San Antonio,TX,private_practice,2.1,False,Mixed,3.0,2.0,5.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,0.5,0.2,1.0,0.25,2025-05-29 15:00:00,2025-11-21 09:00:00,2025-09-29 11:00:00,2025-08-29 08:00:00,2025-12-19 12:00:00,218,42,95,126,14,0.17647058823529413,0.1923076923076923,0.3125,0.24000000000000005,0.4,0.6818181818181818,0.11764705882352941,0.4166666666666667,0.1875,0.12096774193548389,0.5914027149321267,0.24175000000000002,0.38136363636363635,0.3686274509803922,0.5804435483870968,44.44,38,High Engagement,rep_visit,True
40,Joseph,Wright,cardiology,medium_value,TERR_12,El Paso,TX,hospital,1.1,False,Mixed,3.0,8.0,8.0,5.0,4.0,0.0,2.0,4.0,1.0,0.0,0.0,0.25,0.5,0.2,0.0,2025-12-29 17:00:00,2025-12-10 13:00:00,2025-11-13 10:00:00,2025-11-26 09:00:00,2025-08-29 15:00:00,4,23,50,37,126,0.29411764705882354,0.44776119402985076,0.5,0.37499999999999994,0.4,0.1923076923076923,0.47058823529411764,0.5660377358490566,0.1875,0.8823529411764706,0.27778753292361724,0.47500000000000003,0.15846153846153846,0.37938401775804664,0.23272058823529412,30.18,256,Medium Engagement,phone_call,True
